Transaction_ID,Transaction_Amount,Timestamp,Location,Transaction_Type,Is_Fraudulent,Transaction_Frequency,Average_Transaction_Amount,Time_Since_Last_Transaction,Deviation_From_Avg
TID00092,3566.51,2023-01-04 19:00:00,City_D,Withdrawal,0,27,452.02,73,3114.49
TID00093,3804.16,2023-01-04 20:00:00,City_A,Purchase,0,45,1984.31,42,1819.85
TID00094,2806.82,2023-01-04 21:00:00,City_B,Withdrawal,0,32,1518.52,72,1288.3
TID00095,3855.06,2023-01-04 22:00:00,City_D,Withdrawal,0,12,1925.85,32,1929.21
TID00096,2469.48,2023-01-04 23:00:00,City_B,Purchase,0,4,626.91,15,1842.57
TID00097,2614.14,2023-01-05 00:00:00,City_C,Withdrawal,0,42,370.9,82,2243.24
TID00098,2138.28,2023-01-05 01:00:00,City_D,Purchase,0,26,1030.98,87,1107.3
TID00099,128.07,2023-01-05 02:00:00,City_A,Transfer,0,3,1014.6,69,-886.53
TID00100,540.35,2023-01-05 03:00:00,City_D,Transfer,0,17,391.15,27,149.2
TID00101,158.11,2023-01-05 04:00:00,City_B,Transfer,0,9,1479.78,97,-1321.67
TID00102,3182.42,2023-01-05 05:00:00,City_A,Withdrawal,0,29,755.47,66,2426.95
TID00103,1572.47,2023-01-05 06:00:00,City_D,Transfer,0,1,413.41,59,1159.06
TID00104,2543.34,2023-01-05 07:00:00,City_D,Purchase,0,18,697.37,28,1845.97
TID00105,4537.92,2023-01-05 08:00:00,City_D,Transfer,0,41,1149.13,24,3388.79
TID00106,1247.21,2023-01-05 09:00:00,City_D,Transfer,0,20,1466.62,51,-219.41
TID00107,2052.5,2023-01-05 10:00:00,City_A,Withdrawal,0,41,989.69,21,1062.81
TID00108,3778.0,2023-01-05 11:00:00,City_B,Purchase,0,34,1074.91,31,2703.09
TID00109,1144.76,2023-01-05 12:00:00,City_D,Withdrawal,0,28,320.94,75,823.82
TID00110,385.82,2023-01-05 13:00:00,City_A,Withdrawal,0,48,1833.65,50,-1447.83
TID00111,1449.47,2023-01-05 14:00:00,City_B,Purchase,0,35,1861.01,92,-411.54
TID00112,806.95,2023-01-05 15:00:00,City_D,Withdrawal,0,16,1382.68,40,-575.73
TID00113,4648.56,2023-01-05 16:00:00,City_B,Purchase,0,21,84.38,68,4564.18
TID00114,4040.79,2023-01-05 17:00:00,City_B,Transfer,0,13,1097.29,16,2943.5
TID00115,3167.39,2023-01-05 18:00:00,City_A,Purchase,0,35,1276.98,76,1890.41
TID00116,4357.43,2023-01-05 19:00:00,City_B,Purchase,0,42,1989.58,86,2367.85
TID00117,4018.56,2023-01-05 20:00:00,City_A,Purchase,0,32,1992.33,99,2026.23
TID00118,933.66,2023-01-05 21:00:00,City_D,Withdrawal,0,38,1722.34,63,-788.68
TID00119,4462.9,2023-01-05 22:00:00,City_B,Purchase,0,6,174.47,56,4288.43
TID00120,2697.17,2023-01-05 23:00:00,City_B,Purchase,0,38,1908.89,80,788.28
TID00121,4037.39,2023-01-06 00:00:00,City_C,Purchase,0,38,1244.69,24,2792.7
TID00122,4480.56,2023-01-06 01:00:00,City_D,Transfer,0,13,1611.73,99,2868.83
TID00123,1590.7,2023-01-06 02:00:00,City_D,Purchase,0,46,844.03,28,746.67
TID00124,551.15,2023-01-06 03:00:00,City_C,Withdrawal,0,39,673.36,93,-122.21
TID00125,1140.45,2023-01-06 04:00:00,City_C,Purchase,0,13,953.33,85,187.12
TID00126,2136.11,2023-01-06 05:00:00,City_A,Purchase,0,47,336.41,89,1799.7
TID00127,4090.26,2023-01-06 06:00:00,City_A,Transfer,0,12,746.28,31,3343.98
TID00128,4303.79,2023-01-06 07:00:00,City_B,Purchase,0,33,1722.35,15,2581.44
TID00129,35.75,2023-01-06 08:00:00,City_B,Withdrawal,0,28,124.0,42,-88.25
TID00130,2554.23,2023-01-06 09:00:00,City_B,Purchase,0,3,344.21,99,2210.02
TID00131,2087.64,2023-01-06 10:00:00,City_B,Withdrawal,0,18,293.98,50,1793.66
TID00132,1111.32,2023-01-06 11:00:00,City_A,Transfer,0,26,836.0,86,275.32
TID00133,600.21,2023-01-06 12:00:00,City_D,Purchase,0,40,1994.12,5,-1393.91
TID00134,1688.74,2023-01-06 13:00:00,City_B,Transfer,0,2,388.05,48,1300.69
TID00135,4714.61,2023-01-06 14:00:00,City_D,Purchase,0,4,333.69,13,4380.92
TID00136,1616.69,2023-01-06 15:00:00,City_B,Withdrawal,0,28,1834.36,32,-217.67
TID00137,2594.43,2023-01-06 16:00:00,City_C,Transfer,0,28,1770.0,67,824.43
TID00138,3515.39,2023-01-06 17:00:00,City_B,Purchase,0,25,112.87,79,3402.52
TID00139,1818.78,2023-01-06 18:00:00,City_B,Withdrawal,1,26,1515.83,91,302.95
TID00140,4858.94,2023-01-06 19:00:00,City_B,Transfer,0,45,1328.16,91,3530.78
TID00141,4812.27,2023-01-06 20:00:00,City_A,Purchase,0,47,1547.09,30,3265.18
TID00142,1259.66,2023-01-06 21:00:00,City_C,Transfer,0,2,1014.28,6,245.38
TID00143,2486.75,2023-01-06 22:00:00,City_B,Purchase,0,42,1983.19,25,503.56
TID00144,1505.09,2023-01-06 23:00:00,City_B,Withdrawal,0,34,135.5,28,1369.59
TID00145,1424.92,2023-01-07 00:00:00,City_D,Withdrawal,0,30,507.02,62,917.9
TID00146,185.4,2023-01-07 01:00:00,City_C,Transfer,0,21,823.26,22,-637.86
TID00147,3048.21,2023-01-07 02:00:00,City_B,Transfer,0,44,927.07,68,2121.14
TID00148,2513.89,2023-01-07 03:00:00,City_D,Purchase,0,37,1846.67,15,667.22
TID00149,258.34,2023-01-07 04:00:00,City_D,Withdrawal,0,44,1142.01,26,-883.67
TID00150,1393.95,2023-01-07 05:00:00,City_A,Purchase,0,23,137.97,63,1255.98
TID00151,4541.42,2023-01-07 06:00:00,City_D,Withdrawal,0,33,845.33,18,3696.09
TID00152,1198.57,2023-01-07 07:00:00,City_B,Transfer,0,2,862.16,73,336.41
TID00153,725.33,2023-01-07 08:00:00,City_A,Purchase,0,27,1932.71,63,-1207.38
TID00154,2447.77,2023-01-07 09:00:00,City_A,Purchase,0,48,1218.43,62,1229.34
TID00155,4928.27,2023-01-07 10:00:00,City_B,Withdrawal,0,22,1289.52,68,3638.75
TID00156,1211.03,2023-01-07 11:00:00,City_C,Withdrawal,0,34,1440.84,48,-229.81
TID00157,3361.01,2023-01-07 12:00:00,City_D,Withdrawal,0,16,1551.58,50,1809.43
TID00158,3808.34,2023-01-07 13:00:00,City_A,Transfer,0,20,1288.35,63,2519.99
TID00159,1188.95,2023-01-07 14:00:00,City_C,Purchase,0,26,512.53,69,676.42
TID00160,3641.35,2023-01-07 15:00:00,City_B,Withdrawal,0,16,1754.39,6,1886.96
TID00161,1839.55,2023-01-07 16:00:00,City_D,Transfer,0,6,1477.63,58,361.92
TID00162,3161.9,2023-01-07 17:00:00,City_D,Withdrawal,0,45,1496.65,51,1665.25
TID00163,3168.02,2023-01-07 18:00:00,City_A,Purchase,0,44,1993.29,12,1174.73
TID00164,2679.34,2023-01-07 19:00:00,City_D,Withdrawal,0,23,1614.93,95,1064.41
TID00165,452.36,2023-01-07 20:00:00,City_D,Purchase,0,42,1666.85,47,-1214.49
TID00166,4176.68,2023-01-07 21:00:00,City_D,Transfer,0,37,1905.24,9,2271.44
TID00167,1604.58,2023-01-07 22:00:00,City_D,Transfer,0,8,344.71,7,1259.87
TID00168,933.41,2023-01-07 23:00:00,City_B,Withdrawal,0,6,1020.57,29,-87.16
TID00169,204.83,2023-01-08 00:00:00,City_C,Purchase,0,37,1182.11,78,-977.28
TID00170,2954.87,2023-01-08 01:00:00,City_B,Purchase,1,22,692.09,51,2262.78
TID00171,3388.14,2023-01-08 02:00:00,City_B,Purchase,0,6,1686.84,84,1701.3
TID00172,83.92,2023-01-08 03:00:00,City_A,Withdrawal,0,32,1536.72,55,-1452.8
TID00173,2560.95,2023-01-08 04:00:00,City_D,Purchase,0,17,1455.72,96,1105.23
TID00174,1133.25,2023-01-08 05:00:00,City_B,Purchase,0,38,1994.44,59,-861.19
TID00175,3226.22,2023-01-08 06:00:00,City_D,Purchase,0,17,555.79,56,2670.43
TID00176,872.66,2023-01-08 07:00:00,City_B,Purchase,0,37,1484.14,22,-611.48
TID00177,3455.0,2023-01-08 08:00:00,City_B,Withdrawal,0,23,1125.24,18,2329.76
TID00178,1934.29,2023-01-08 09:00:00,City_A,Withdrawal,0,49,660.33,58,1273.96
TID00179,4683.71,2023-01-08 10:00:00,City_C,Purchase,0,49,363.14,40,4320.57
TID00180,688.47,2023-01-08 11:00:00,City_C,Purchase,0,13,1796.97,89,-1108.5
TID00181,1705.99,2023-01-08 12:00:00,City_B,Transfer,0,32,1211.14,31,494.85
TID00182,568.25,2023-01-08 13:00:00,City_A,Transfer,0,22,1658.62,56,-1090.37
TID00183,4623.54,2023-01-08 14:00:00,City_D,Purchase,0,7,1113.42,35,3510.12
TID00184,4386.82,2023-01-08 15:00:00,City_D,Purchase,0,22,478.96,26,3907.86
TID00185,1290.45,2023-01-08 16:00:00,City_B,Transfer,0,21,708.22,68,582.23
TID00186,3300.26,2023-01-08 17:00:00,City_C,Transfer,0,6,794.0,84,2506.26
TID00187,4086.29,2023-01-08 18:00:00,City_A,Purchase,0,14,1947.22,34,2139.07
TID00188,2776.45,2023-01-08 19:00:00,City_C,Withdrawal,0,16,60.98,76,2715.47
TID00189,2648.72,2023-01-08 20:00:00,City_D,Withdrawal,0,3,1972.05,16,676.67
TID00190,1210.02,2023-01-08 21:00:00,City_C,Purchase,0,9,1961.9,42,-751.88
TID00191,466.42,2023-01-08 22:00:00,City_D,Purchase,0,47,1992.49,5,-1526.07
TID00192,4486.18,2023-01-08 23:00:00,City_A,Transfer,0,21,979.35,61,3506.83
TID00193,4502.19,2023-01-09 00:00:00,City_A,Transfer,0,30,1929.43,44,2572.76
TID00194,3165.87,2023-01-09 01:00:00,City_B,Withdrawal,0,30,821.42,35,2344.45
TID00195,1695.81,2023-01-09 02:00:00,City_B,Purchase,0,42,101.27,91,1594.54
TID00196,1746.7,2023-01-09 03:00:00,City_C,Transfer,0,42,487.48,1,1259.22
TID00197,3630.05,2023-01-09 04:00:00,City_A,Withdrawal,0,32,1893.33,98,1736.72
TID00198,4485.65,2023-01-09 05:00:00,City_A,Withdrawal,0,23,76.84,43,4408.81
TID00199,4435.55,2023-01-09 06:00:00,City_B,Withdrawal,0,3,1114.69,32,3320.86
TID00200,3899.6,2023-01-09 07:00:00,City_D,Transfer,0,1,197.42,63,3702.18
TID00201,3210.52,2023-01-09 08:00:00,City_C,Transfer,0,3,608.47,33,2602.05
TID00202,421.62,2023-01-09 09:00:00,City_C,Purchase,1,37,221.78,95,199.84
TID00203,808.98,2023-01-09 10:00:00,City_B,Purchase,1,7,1726.08,77,-917.1
TID00204,4492.87,2023-01-09 11:00:00,City_A,Withdrawal,0,3,1202.59,66,3290.28
TID00205,3032.54,2023-01-09 12:00:00,City_B,Withdrawal,0,36,1809.11,30,1223.43
TID00206,46.98,2023-01-09 13:00:00,City_B,Transfer,0,49,1392.29,10,-1345.31
TID00207,508.26,2023-01-09 14:00:00,City_B,Transfer,0,3,1943.51,23,-1435.25
TID00208,3317.85,2023-01-09 15:00:00,City_B,Purchase,0,4,1044.26,97,2273.59
TID00209,26.3,2023-01-09 16:00:00,City_D,Purchase,0,31,1295.49,39,-1269.19
TID00210,804.88,2023-01-09 17:00:00,City_D,Purchase,0,2,1173.8,45,-368.92
TID00211,2744.12,2023-01-09 18:00:00,City_A,Transfer,0,14,994.31,29,1749.81
TID00212,3459.78,2023-01-09 19:00:00,City_B,Withdrawal,0,37,1699.62,30,1760.16
TID00213,3260.15,2023-01-09 20:00:00,City_D,Purchase,0,31,1306.82,34,1953.33
TID00214,1122.12,2023-01-09 21:00:00,City_A,Purchase,0,2,1612.56,52,-490.44
TID00215,3561.18,2023-01-09 22:00:00,City_B,Transfer,0,31,1583.41,81,1977.77
TID00216,1187.01,2023-01-09 23:00:00,City_C,Purchase,0,47,422.54,22,764.47
TID00217,1627.67,2023-01-10 00:00:00,City_D,Withdrawal,0,43,1317.82,5,309.85
TID00218,3732.71,2023-01-10 01:00:00,City_A,Transfer,0,22,439.31,11,3293.4
TID00219,3248.51,2023-01-10 02:00:00,City_C,Purchase,0,10,1187.47,86,2061.04
TID00220,4246.27,2023-01-10 03:00:00,City_B,Purchase,0,30,1371.0,32,2875.27
TID00221,3288.41,2023-01-10 04:00:00,City_B,Transfer,0,33,1994.61,24,1293.8
TID00222,2841.97,2023-01-10 05:00:00,City_B,Transfer,0,19,109.56,11,2732.41
TID00223,469.28,2023-01-10 06:00:00,City_D,Purchase,0,46,227.92,11,241.36
TID00224,1839.21,2023-01-10 07:00:00,City_A,Withdrawal,0,25,200.2,17,1639.01
TID00225,1326.75,2023-01-10 08:00:00,City_C,Transfer,0,46,826.8,32,499.95
TID00226,1220.7,2023-01-10 09:00:00,City_A,Withdrawal,1,1,1652.1,83,-431.4
TID00227,4865.08,2023-01-10 10:00:00,City_D,Purchase,0,32,1695.91,27,3169.17
TID00228,1966.1,2023-01-10 11:00:00,City_A,Withdrawal,0,25,1487.11,32,478.99
TID00229,4460.34,2023-01-10 12:00:00,City_D,Purchase,0,41,1798.91,61,2661.43
TID00230,3156.06,2023-01-10 13:00:00,City_B,Purchase,1,17,679.58,25,2476.48
TID00231,3974.26,2023-01-10 14:00:00,City_C,Purchase,0,14,221.9,64,3752.36
TID00232,2513.68,2023-01-10 15:00:00,City_B,Purchase,0,45,163.4,64,2350.28
TID00233,2884.94,2023-01-10 16:00:00,City_A,Withdrawal,0,13,1711.66,28,1173.28
TID00234,2463.1,2023-01-10 17:00:00,City_B,Purchase,1,38,1474.35,40,988.75
TID00235,977.02,2023-01-10 18:00:00,City_C,Purchase,0,39,1412.3,91,-435.28
TID00236,3612.54,2023-01-10 19:00:00,City_B,Withdrawal,0,2,712.37,14,2900.17
TID00237,1404.58,2023-01-10 20:00:00,City_C,Transfer,0,32,790.82,42,613.76
TID00238,122.56,2023-01-10 21:00:00,City_C,Withdrawal,0,32,1918.32,39,-1795.76
TID00239,3227.72,2023-01-10 22:00:00,City_B,Withdrawal,0,40,174.42,2,3053.3
TID00240,886.38,2023-01-10 23:00:00,City_D,Withdrawal,0,6,1558.78,81,-672.4
TID00241,4702.35,2023-01-11 00:00:00,City_A,Purchase,0,25,653.78,1,4048.57
TID00242,4769.69,2023-01-11 01:00:00,City_D,Purchase,0,3,126.16,32,4643.53
TID00243,4574.41,2023-01-11 02:00:00,City_D,Purchase,1,18,1498.01,83,3076.4
TID00244,1851.42,2023-01-11 03:00:00,City_B,Transfer,0,38,695.28,64,1156.14
TID00245,78.27,2023-01-11 04:00:00,City_A,Purchase,0,43,1458.19,78,-1379.92
TID00246,4641.66,2023-01-11 05:00:00,City_A,Transfer,0,3,1429.93,31,3211.73
TID00247,2141.49,2023-01-11 06:00:00,City_D,Purchase,0,48,1092.83,58,1048.66
TID00248,4833.31,2023-01-11 07:00:00,City_B,Withdrawal,0,5,1565.88,82,3267.43
TID00249,4818.14,2023-01-11 08:00:00,City_A,Purchase,0,24,1183.02,78,3635.12
TID00250,4265.19,2023-01-11 09:00:00,City_D,Transfer,0,34,608.94,14,3656.25
TID00251,1472.95,2023-01-11 10:00:00,City_A,Transfer,1,47,1481.52,88,-8.57
TID00252,1926.1,2023-01-11 11:00:00,City_B,Purchase,0,48,1198.82,69,727.28
TID00253,4255.83,2023-01-11 12:00:00,City_B,Withdrawal,0,39,74.82,16,4181.01
TID00254,1585.29,2023-01-11 13:00:00,City_B,Purchase,0,48,1808.21,69,-222.92
TID00255,848.29,2023-01-11 14:00:00,City_A,Purchase,0,24,1114.01,54,-265.72
TID00256,2784.45,2023-01-11 15:00:00,City_C,Purchase,0,36,1743.82,13,1040.63
TID00257,4680.84,2023-01-11 16:00:00,City_A,Withdrawal,0,28,1771.34,80,2909.5
TID00258,3480.45,2023-01-11 17:00:00,City_C,Transfer,0,48,917.68,79,2562.77
TID00259,2850.74,2023-01-11 18:00:00,City_B,Withdrawal,0,49,1039.94,31,1810.8
TID00260,486.79,2023-01-11 19:00:00,City_D,Transfer,0,34,860.72,69,-373.93
TID00261,3075.42,2023-01-11 20:00:00,City_C,Transfer,0,16,926.4,21,2149.02
TID00262,4950.28,2023-01-11 21:00:00,City_B,Transfer,0,36,1795.54,30,3154.74
TID00263,701.28,2023-01-11 22:00:00,City_B,Withdrawal,0,7,1586.88,23,-885.6
TID00264,2592.13,2023-01-11 23:00:00,City_C,Purchase,0,18,296.73,38,2295.4
TID00265,4386.99,2023-01-12 00:00:00,City_D,Purchase,0,6,1240.1,29,3146.89
TID00266,3704.1,2023-01-12 01:00:00,City_B,Purchase,0,28,1992.02,77,1712.08
TID00267,3485.38,2023-01-12 02:00:00,City_C,Purchase,0,39,1211.32,32,2274.06
TID00268,3512.72,2023-01-12 03:00:00,City_D,Purchase,0,34,1582.45,62,1930.27
TID00269,1798.1,2023-01-12 04:00:00,City_D,Withdrawal,0,41,1549.67,91,248.43
TID00270,1468.67,2023-01-12 05:00:00,City_B,Withdrawal,0,29,733.12,98,735.55
TID00271,4047.0,2023-01-12 06:00:00,City_A,Withdrawal,0,4,775.11,45,3271.89
TID00272,4050.76,2023-01-12 07:00:00,City_A,Withdrawal,0,14,1461.95,49,2588.81
TID00273,4335.49,2023-01-12 08:00:00,City_B,Withdrawal,0,5,1024.97,33,3310.52
TID00274,4566.29,2023-01-12 09:00:00,City_D,Withdrawal,0,25,1162.61,4,3403.68
TID00275,2557.2,2023-01-12 10:00:00,City_B,Withdrawal,0,39,1440.17,18,1117.03
TID00276,2508.08,2023-01-12 11:00:00,City_C,Purchase,0,8,1566.27,70,941.81
TID00277,3991.68,2023-01-12 12:00:00,City_A,Transfer,0,15,579.46,64,3412.22
TID00278,3250.17,2023-01-12 13:00:00,City_C,Withdrawal,0,19,336.25,28,2913.92
TID00279,3510.13,2023-01-12 14:00:00,City_B,Transfer,0,11,619.0,58,2891.13
TID00280,3979.17,2023-01-12 15:00:00,City_B,Withdrawal,0,20,1039.7,91,2939.47
TID00281,4450.14,2023-01-12 16:00:00,City_D,Withdrawal,0,36,717.18,90,3732.96
TID00282,1690.64,2023-01-12 17:00:00,City_D,Purchase,0,18,1158.31,56,532.33
TID00283,1878.54,2023-01-12 18:00:00,City_D,Transfer,0,14,154.26,20,1724.28
TID00284,470.82,2023-01-12 19:00:00,City_C,Purchase,0,38,1044.01,77,-573.19
TID00285,2891.82,2023-01-12 20:00:00,City_D,Purchase,0,25,767.57,92,2124.25
TID00286,180.68,2023-01-12 21:00:00,City_B,Transfer,0,16,1092.6,34,-911.92
TID00287,2328.52,2023-01-12 22:00:00,City_D,Purchase,0,18,873.94,87,1454.58
TID00288,2713.68,2023-01-12 23:00:00,City_A,Withdrawal,0,1,604.24,10,2109.44
